id,aspect_ratio,energy,orientation,overhang,status,wwr,glass_id,request_id,slave_id
214311,1,102,0,1,completed,0.1,108,10,1
214312,1,102,0,12,completed,0.1,108,10,1
214313,1,102,0,23,completed,0.1,108,10,1
214314,1,102,0,34,completed,0.1,108,10,1
214315,1,102,0,45,completed,0.1,108,10,1
214316,1,102,0,1,completed,0.1,106,10,1
214317,1,102,0,12,completed,0.1,106,10,1
214318,1,102,0,23,completed,0.1,106,10,1
214319,1,102,0,34,completed,0.1,106,10,1
214320,1,101,0,45,completed,0.1,106,10,1
214321,1,107,0,1,completed,0.1,107,10,1
214322,1,106,0,12,completed,0.1,107,10,1
214323,1,106,0,23,completed,0.1,107,10,1
214324,1,105,0,34,completed,0.1,107,10,1
214325,1,105,0,45,completed,0.1,107,10,1
214326,1,102,0,1,completed,0.1,104,10,1
214327,1,102,0,12,completed,0.1,104,10,1
214328,1,102,0,23,completed,0.1,104,10,1
214329,1,102,0,34,completed,0.1,104,10,1
214330,1,102,0,45,completed,0.1,104,10,1
214331,1,105,0,1,completed,0.1,103,10,1
214332,1,105,0,12,completed,0.1,103,10,1
214333,1,104,0,23,completed,0.1,103,10,1
214334,1,104,0,34,completed,0.1,103,10,1
214335,1,103,0,45,completed,0.1,103,10,1
214336,1,106,0,1,completed,0.1,105,10,1
214337,1,106,0,12,completed,0.1,105,10,1
214338,1,105,0,23,completed,0.1,105,10,1
214339,1,105,0,34,completed,0.1,105,10,1
214340,1,104,0,45,completed,0.1,105,10,1
214341,2,103,0,1,completed,0.1,108,10,1
214342,2,102,0,12,completed,0.1,108,10,1
214343,2,102,0,23,completed,0.1,108,10,1
214344,2,102,0,34,completed,0.1,108,10,1
214345,2,102,0,45,completed,0.1,108,10,1
214346,2,102,0,1,completed,0.1,106,10,1
214347,2,102,0,12,completed,0.1,106,10,1
214348,2,102,0,23,completed,0.1,106,10,1
214349,2,102,0,34,completed,0.1,106,10,1
214350,2,102,0,45,completed,0.1,106,10,1
214351,2,107,0,1,completed,0.1,107,10,1
214352,2,107,0,12,completed,0.1,107,10,1
214353,2,106,0,23,completed,0.1,107,10,1
214354,2,106,0,34,completed,0.1,107,10,1
214355,2,105,0,45,completed,0.1,107,10,1
214356,2,103,0,1,completed,0.1,104,10,1
214357,2,103,0,12,completed,0.1,104,10,1
214358,2,102,0,23,completed,0.1,104,10,1
214359,2,102,0,34,completed,0.1,104,10,1
214360,2,102,0,45,completed,0.1,104,10,1
214361,2,106,0,1,completed,0.1,103,10,1
214362,2,105,0,12,completed,0.1,103,10,1
214363,2,105,0,23,completed,0.1,103,10,1
214364,2,104,0,34,completed,0.1,103,10,1
214365,2,104,0,45,completed,0.1,103,10,1
214366,2,107,0,1,completed,0.1,105,10,1
214367,2,106,0,12,completed,0.1,105,10,1
214368,2,106,0,23,completed,0.1,105,10,1
214369,2,105,0,34,completed,0.1,105,10,1
214370,2,105,0,45,completed,0.1,105,10,1
214371,3,103,0,1,completed,0.1,108,10,1
214372,3,103,0,12,completed,0.1,108,10,1
214373,3,103,0,23,completed,0.1,108,10,1
214374,3,103,0,34,completed,0.1,108,10,1
214375,3,102,0,45,completed,0.1,108,10,1
214376,3,103,0,1,completed,0.1,106,10,1
214377,3,103,0,12,completed,0.1,106,10,1
214378,3,103,0,23,completed,0.1,106,10,1
214379,3,102,0,34,completed,0.1,106,10,1
214380,3,102,0,45,completed,0.1,106,10,1
214381,3,109,0,1,completed,0.1,107,10,1
214382,3,108,0,12,completed,0.1,107,10,1
214383,3,107,0,23,completed,0.1,107,10,1
214384,3,106,0,34,completed,0.1,107,10,1
214385,3,106,0,45,completed,0.1,107,10,1
214386,3,103,0,1,completed,0.1,104,10,1
214387,3,103,0,12,completed,0.1,104,10,1
214388,3,103,0,23,completed,0.1,104,10,1
214389,3,103,0,34,completed,0.1,104,10,1
214390,3,102,0,45,completed,0.1,104,10,1
214391,3,106,0,1,completed,0.1,103,10,1
214392,3,106,0,12,completed,0.1,103,10,1
214393,3,105,0,23,completed,0.1,103,10,1
214394,3,105,0,34,completed,0.1,103,10,1
214395,3,104,0,45,completed,0.1,103,10,1
214396,3,108,0,1,completed,0.1,105,10,1
214397,3,107,0,12,completed,0.1,105,10,1
214398,3,107,0,23,completed,0.1,105,10,1
214399,3,106,0,34,completed,0.1,105,10,1
214400,3,105,0,45,completed,0.1,105,10,1
214401,4,104,0,1,completed,0.1,108,10,1
214402,4,104,0,12,completed,0.1,108,10,1
214403,4,103,0,23,completed,0.1,108,10,1
214404,4,103,0,34,completed,0.1,108,10,1
214405,4,103,0,45,completed,0.1,108,10,1
214406,4,103,0,1,completed,0.1,106,10,1
214407,4,103,0,12,completed,0.1,106,10,1
214408,4,103,0,23,completed,0.1,106,10,1
214409,4,103,0,34,completed,0.1,106,10,1
214410,4,103,0,45,completed,0.1,106,10,1
214411,4,110,0,1,completed,0.1,107,10,1
214412,4,109,0,12,completed,0.1,107,10,1
214413,4,108,0,23,completed,0.1,107,10,1
214414,4,107,0,34,completed,0.1,107,10,1
214415,4,107,0,45,completed,0.1,107,10,1
214416,4,104,0,1,completed,0.1,104,10,1
214417,4,104,0,12,completed,0.1,104,10,1
214418,4,103,0,23,completed,0.1,104,10,1
214419,4,103,0,34,completed,0.1,104,10,1
214420,4,103,0,45,completed,0.1,104,10,1
214421,4,107,0,1,completed,0.1,103,10,1
214422,4,107,0,12,completed,0.1,103,10,1
214423,4,106,0,23,completed,0.1,103,10,1
214424,4,105,0,34,completed,0.1,103,10,1
214425,4,105,0,45,completed,0.1,103,10,1
214426,4,109,0,1,completed,0.1,105,10,1
214427,4,108,0,12,completed,0.1,105,10,1
214428,4,107,0,23,completed,0.1,105,10,1
214429,4,107,0,34,completed,0.1,105,10,1
214430,4,116,0,45,completed,0.1,105,10,2
214431,5,115,0,1,completed,0.1,108,10,2
214432,5,115,0,12,completed,0.1,108,10,2
214433,5,114,0,23,completed,0.1,108,10,2
214434,5,114,0,34,completed,0.1,108,10,2
214435,5,113,0,45,completed,0.1,108,10,2
214436,5,114,0,1,completed,0.1,106,10,2
214437,5,114,0,12,completed,0.1,106,10,2
214438,5,114,0,23,completed,0.1,106,10,2
214439,5,113,0,34,completed,0.1,106,10,2
214440,5,113,0,45,completed,0.1,106,10,2
214441,5,125,0,1,completed,0.1,107,10,2
214442,5,123,0,12,completed,0.1,107,10,2
214443,5,121,0,23,completed,0.1,107,10,2
214444,5,120,0,34,completed,0.1,107,10,2
214445,5,118,0,45,completed,0.1,107,10,2
214446,5,115,0,1,completed,0.1,104,10,2
214447,5,115,0,12,completed,0.1,104,10,2
214448,5,114,0,23,completed,0.1,104,10,2
214449,5,114,0,34,completed,0.1,104,10,2
214450,5,113,0,45,completed,0.1,104,10,2
214451,5,121,0,1,completed,0.1,103,10,2
214452,5,120,0,12,completed,0.1,103,10,2
214453,5,119,0,23,completed,0.1,103,10,2
214454,5,118,0,34,completed,0.1,103,10,2
214455,5,117,0,45,completed,0.1,103,10,2
214456,5,122,0,1,completed,0.1,105,10,2
214457,5,121,0,12,completed,0.1,105,10,2
214458,5,120,0,23,completed,0.1,105,10,2
214459,5,119,0,34,completed,0.1,105,10,2
214460,5,118,0,45,completed,0.1,105,10,2
214461,1,113,0,1,completed,0.2,108,10,2
214462,1,112,0,12,completed,0.2,108,10,2
214463,1,111,0,23,completed,0.2,108,10,2
214464,1,110,0,34,completed,0.2,108,10,2
214465,1,110,0,45,completed,0.2,108,10,2
214466,1,112,0,1,completed,0.2,106,10,2
214467,1,111,0,12,completed,0.2,106,10,2
214468,1,110,0,23,completed,0.2,106,10,2
214469,1,110,0,34,completed,0.2,106,10,2
